造假，包裹传感器,矿井屏蔽安全监控系统数据。2024年1月20日，煤矿使用安全套包裹3109回风顺槽皮带转载点下风侧的一氧化碳传感器，使用塑料袋包裹3109回风顺槽皮带转载点下风侧的烟雾传感器。违反了《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项、《煤矿重大事故隐患判定标准》第十八条第六项的规定。,《煤矿重大事故隐患判定标准》第十八条第六项
超能力组织生产,超能力组织生产：矿井核定生产能力500万吨/年，2023年度7月生产原煤54.03万吨、9月生产原煤50.67万吨，月产量大于矿井核定(设计)生产能力10％。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第一项；《煤矿重大事故隐患判定标准》第四条第一项的规定。,《煤矿重大事故隐患判定标准》第四条第一项
通风系统不可靠，未实现专用回风巷功能,矿井通风系统不可靠。矿井为高瓦斯矿井，现开采煤层自燃倾向性为容易自燃，检查时42盘区一号回风巷为专用回风巷，2500m巷道内铺设有2部胶带输送机及配套电气设备且正常运行并进行运输作业，未实现专用回风巷功能。违反《煤矿安全规程》第一百四十九条第三款；《煤矿重大事故隐患判定标准》第八条第五项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第五项之规定。,《煤矿重大事故隐患判定标准》第八条第五项
带式输送机的输送带温度监测装置失效,带式输送机的输送带温度监测装置失效。3-2煤4联巷1部胶带运输机主驱动滚筒温度保护装置处于悬空状态，未固定在传动滚筒瓦座上，不具备温度监测及超温洒水功能。违反《煤矿电气设备安装工程施工与验收规范》（GB51145-2015）15.3.7；《煤矿重大事故隐患判定标准》第十八条第八项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项。,《煤矿重大事故隐患判定标准》第十八条第八项
瓦斯检查假检,该矿瓦斯检查存在假检进行作业。2024年3月2日早班约11时30分，陕西局监察员在C302充填工作面上隅角附近时检查时，发现当班瓦斯检查员尹东东携带的光干涉甲烷测定器（型号CJG-23118）损坏（无光谱），尹东东于11时15分和11时21分，分别检查了C302充填工作面回风隅角、C302充填工作面回风顺槽10-15m检测点处的甲烷及二氧化碳浓度，并填写了瓦斯检查牌板和手册。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第二项；《煤矿重大事故隐患判定标准》第五条第一款第一项。,《煤矿重大事故隐患判定标准》第五条第一项
自然发火严重，未采取有效措施,矿井开采自燃煤层，未采取综合防灭火措施。《延安市禾草沟煤业有限公司防灭火专项设计》要求50207综采工作面喷洒阻化剂溶液应为2.78t/d，实际为0.61t/d，阻化剂溶液用量不符合要求，《50207综采工作面防灭火专项安全技术措施》规定每天使用阻化剂100kg配制阻化剂溶液，实际使用阻化剂75kg配制阻化剂溶液，浓度不符合要求；《延安市禾草沟煤业有限公司防灭火专项设计》要求每3天注氮一次，每次注氮时间不少于3小时，实际自2月3日至3月2日检查时，注氮泵注氮时间仅为9.5小时（含调试时间）。矿井综合防灭火措施落实不到位，仍组织生产作业。违反《煤矿重大事故隐患判定标准》第十二条第一项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第九项。,《煤矿重大事故隐患判定标准》第十二条第一项
未查明水文地质条件、采空区、废弃老窑积水等，生产建设,未查明矿井水文地质条件和井田范围内采空区、废弃老窑积水等情况而组织生产建设。该矿于2002至2017年井工开采期间形成4.7km²的3-1煤采空区。查阅煤矿《3-1煤采空区积水探查报告》（2023年9月），报告载明物探工程发现“低阻异常区5处共计面积687570m²”，钻探工程仅验证了2处异常区，且该报告结论未明确3-1煤采空区积水位置、范围、水压、积水量等积水情况参数。（《国务院关于预防煤矿生产安全事故的特别规定》（国务院令第446号）第八条第二款第六项、《煤矿重大事故隐患判定标准》（应急管理部令第4号）第九条第一项）,《煤矿重大事故隐患判定标准》第九条第一项
擅自开采永久性保护煤柱,2023年7月，北关煤矿未经安全论证、审批，开拓延伸辅助运输大巷、皮带运输大巷、回风大巷，三条大巷穿过铁路安全煤柱；2023年11月，北关煤矿未经正规设计、安全论证和审批，违规布置630综采工作面和324高档普采工作面，其中630综采工作面回风顺槽、运输顺槽穿过铁路安全煤柱。,《煤矿重大事故隐患判定标准》第十条第三项
造假，人为删除测点,人为删除安全监测监控系统甲烷传感器测点。2024年2月21日04时04分55秒，当班通风调度员删除了40207运顺中部甲烷传感器测点[053A09]，04时13分51秒添加了40207运顺中部甲烷传感器测点[053A09]，导致安全监测监控系统在04时04分55秒至04时13分51秒期间的8分钟56秒时长内无该测点瓦斯浓度监测数据。（违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项；《煤矿重大事故隐患判定标准》第十八条第六项）,《煤矿重大事故隐患判定标准》第十八条第六项
未实现风电、甲烷电闭锁,矿井瓦斯超限后不能断电。2024年2月21日4时16分53秒，40207运顺掘进工作面中部激光甲烷传感器上限断电值被当班监控员定义为1.50%，23时32分04秒该传感器监测瓦斯浓度最大值1.06%，40207运顺总馈馈电传感器显示有电，40207运顺动力馈电开关综保记录显示23时32分04秒瓦斯浓度超过1.00%未断电。（违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第四项；《煤矿重大事故隐患判定标准》第七条第二项）,《煤矿重大事故隐患判定标准》第七条第二项
超能力组织生产,矿井超能力组织生产。该矿为正常生产矿井，核定生产能力800万吨/年，查阅矿井产量统计报表等资料，2023年10月份原煤产量84.20万吨、11月份原煤产量83.90万吨，月原煤产量大于核定生产能力的10%。（《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第一项；《煤矿重大事故隐患判定标准》第四条第一项）,《煤矿重大事故隐患判定标准》第四条第一项
造假，布置隐蔽采掘工作面,经核查，矿井在副立井配电室附近布置有隐蔽采掘工作面，2022年6月在此处实施采掘作业活动。违反《煤矿重大事故隐患判定标准》第十八条第五项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项。,《煤矿重大事故隐患判定标准》第十八条第五项
建设矿井边建设边生产,洞子沟煤矿为资源整合改扩建矿井，尚未完成建设。经核查，矿井在轨道石门巷道处、皮带巷和轨道巷之间联巷、新建变电所处组织生产。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十二项；《煤矿重大事故隐患判定标准》第十五条第三项。,《煤矿重大事故隐患判定标准》第十五条第三项
造假，提供虚假信息，隐瞒采面作业人数,煤矿提供虚假信息、隐瞒下井人数。矿井采用部分巷修作业人员不带定位卡的方式，隐瞒实际下井人数，掩盖入井人员超限。查阅开拓二队2023年8月份班前会议记录及出勤表每班均有人员下井出勤，查询人员定位系统，无法查到开拓二队8月份出勤人员下井信息。矿井单班限员180人，出入井人员清点汇总表显示2023年8月21日中班入井177人，查看人员定位系统无开拓二队中班人员入井记录，而2023年8月21日班前会议记录中开拓二队中班出勤7人，实际井下作业人数184人，超矿井单班限员4人。出入井人员清点汇总表显示2023年8月23日中班入井207人，查看人员定位系统开拓二队人员中班无入井记录，而2023年8月23日班前会议记录中开拓二队中班下井出勤6人，实际井下作业人数213人，超矿井单班限员33人。违反《煤矿重大事故隐患判定标准》第十八条第五项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项。,《煤矿重大事故隐患判定标准》第十八条第五项
采煤工作面超定员20%以上,超定员组织生产。矿井水文地质类型为复杂，2024年1月10日11点（检修班），2102综采工作面作业人数为52人，超过国家限员规定40人的20%以上，违反了《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第一项，《煤矿重大事故隐患判定标准》第四条第六项，《煤矿单班入井（坑）作业人数限员规定》第三条、第五条的规定。,《煤矿重大事故隐患判定标准》第四条第六项
未按规定安设甲烷传感器,未按照国家规定安设甲烷传感器。该矿为煤与瓦斯突出矿井，检查时发现12采区煤仓上方未按照规定安装甲烷传感器。违反了《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第四项、《煤矿重大事故隐患判定标准》第七条第二项的规定。,《煤矿重大事故隐患判定标准》第七条第二项
使用明令禁止的淘汰设备,井下使用明令禁止的淘汰设备。该矿10月18日至12月中旬期间，井下间断使用4台型号TYP-1450034非防爆三轮车（五征牌）在5101综采工作面回风顺槽、总回风巷运输煤渣。,《煤矿重大事故隐患判定标准》第十三条第三项
带式输送机保护失效,带式输送机堆煤保护装置失效。查看煤矿监控室视频，2024年1月26日中班15:38分左右，井下一部皮带煤仓上口堆煤至皮带上带，堆煤保护装置不起作用（未报警并中止带式输送机运行）。,《煤矿重大事故隐患判定标准》第十八条第八项
造假，图纸作假、隐瞒采掘工作面,图纸作假、隐瞒采掘工作面；矿长履行管理制度规定时弄虚作假。该矿自2023年11月中旬至2024年1月底，在辅助运输大巷末端东侧，违规布置630综采工作面和324高档普采工作面，且未在采掘工程平面图、通风系统图、巷道布置图等图纸中填绘；2024年1月28日检查时矿长汇报入井人员9人。经查，确认矿长任建平当日早班安排入井人数为61人，9人携带人员定位卡并进行了入井登记，其他未携带定位卡入井人员另外进行登记。,《煤矿重大事故隐患判定标准》第十八条第五项
未查明水文地质条件、采空区、废弃老窑积水等，生产建设,煤矿未查明井田范围内3-1煤采空区积水而组织生产建设：煤矿地面物探成果报告显示3-1采空区仅存在3处小范围的采空区积水（总面积约0.034km2，总积水量21411m3），矿井以此圈定了采掘工程平面图及各类防治水报告中的采空积水区，但煤矿井筒检查孔J6、J7钻孔资料显示，钻孔处3-1煤采空区存在大量积水，承压10-15m，采掘工程平面图及各类防治水报告中圈定的采空积水区未包含井筒检查孔J6、J7钻孔处的采空区积水，煤矿未进一步综合探查并查明3-1煤采空区积水位置、范围、水压、积水量而直接组织生产建设。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第六项、《煤矿重大事故隐患判定标准》第九条第一项之规定。,《煤矿重大事故隐患判定标准》第九条第一项
超能力组织生产,"超能力组织生产：矿井核定生产能力300万吨/年,2023年度10月生产原煤38.40万吨、11月生产原煤36.58万吨，月产量大于矿井核定(设计)生产能力10％。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第一项和《煤矿重大事故隐患判定标准》第四条第一项的规定",《煤矿重大事故隐患判定标准》第四条第一项
带式输送机保护失效,带式输送机的输送带防打滑保护装置失效：33103主运顺槽综掘工作面带式输送机安装了1套电感式防打滑保护装置，采用传感器与磁铁配合实现防打滑。检查时开启带式输送机并使传感器远离磁铁，皮带保护装置不能报警，带式输送机也不能停机。违反《煤矿重大事故隐患判定标准》第十八条第八项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项之规定。,《煤矿重大事故隐患判定标准》第十八条第八项
造假，隐瞒井下采煤工作面,未安装安全监控系统、人员位置监测系统。井下隐瞒布置的5个采煤工作面（N1301采煤工作面、N5301采煤工作面、N002采煤工作面、N006采煤工作面、N007采煤工作面）和5个掘进工作面（301盘区七联巷炮掘工作面、1301开切眼炮掘工作面、501进风巷炮掘工作面、501回风巷炮掘工作面、301回风炮掘工作面），没有安装安全监控系统、人员定位系统的监测监控设备。违反《煤矿安全规程》第四百八十七条；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项；《煤矿重大事故隐患判定标准》第十八条第六项。,《煤矿重大事故隐患判定标准》第十八条第六项
未按规定足额提取、使用安全费用,未按照国家规定足额提取安全费用：矿井2022年安全生产费用未按照实际产量提取，实际原煤产量为44.66万吨，按照原煤产量为30万吨提取安全生产费用。违反《企业安全生产费用提取和使用管理办法》第七条第一款第三项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项；《煤矿重大事故隐患判定标准》第十八条第二款。,《煤矿重大事故隐患判定标准》第十八条第二项
通风系统不完善、不可靠。,矿井通风系统不完善、不可靠。301盘区隐瞒的采掘工作面4次串联通风，未实现独立通风、配风，风量严重不足；矿井排放瓦斯前未测算巷道配风量及风机吸风量，产生“循环风”；为给隐瞒的N1301采煤工作面供风，在301盘区运输巷内使用木板拼接、彩条布包裹构筑临时调风设施，通风设施不可靠。违反《煤矿安全规程》第一百三十八条第一款第二项；《煤矿安全规程》第一百五十条第二款；《煤矿安全规程》第一百四十四条；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第五项；《煤矿重大事故隐患判定标准》第八条第一项、第三项、第六项。,《煤矿重大事故隐患判定标准》第八条第一项、《煤矿重大事故隐患判定标准》第八条第三项、《煤矿重大事故隐患判定标准》第八条第六项
瓦斯检查漏检,瓦斯检查存在漏检。矿井对隐瞒的5个采煤工作面（N1301采煤工作面、N5301采煤工作面、N002采煤工作面、N006采煤工作面、N007采煤工作面）和5个掘进工作面（301盘区七联巷炮掘工作面、1301开切眼炮掘工作面、501进风巷炮掘工作面、501回风巷炮掘工作面、301回风炮掘工作面），在其生产作业班次内各采掘工作面仅开展1次瓦斯检查。违反《煤矿安全规程》第一百八十条第三项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第二项；《煤矿重大事故隐患判定标准》第五条第一项。,《煤矿重大事故隐患判定标准》第五条第一项
井下使用非防爆设备,井下使用非防爆设备。301盘区七联巷炮掘工作面使用非防爆无轨胶轮车和非防爆电机的装载机；501进风巷炮掘工作面、501回风巷炮掘工作面使用非防爆引风机。违反《煤矿安全规程》第十条第四款；《国务院关于预防煤矿生产安全事故的特别规定》第八条第十项；《煤矿重大事故隐患判定标准》第十三条第三项。,《煤矿重大事故隐患判定标准》第十三条第三项
造假，图纸作假、隐瞒采掘工作面,矿井图纸作假，隐瞒井下采掘工作面。2023年8月21日，井下隐瞒布置有5个采煤工作面（N1301采煤工作面、N5301采煤工作面、N002采煤工作面、N006采煤工作面、N007采煤工作面）和5个掘进工作面（301盘区七联巷炮掘工作面、1301开切眼炮掘工作面、501进风巷炮掘工作面、501回风巷炮掘工作面、301回风炮掘工作面），均未在采掘工程平面图、通风系统图等矿井现状图绘制。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项；《煤矿重大事故隐患判定标准》第十八条第五项。,《煤矿重大事故隐患判定标准》第十八条第五项
超能力、超强度组织生产。,矿井超能力、超强度组织生产。（1）2022年矿井生产原煤共计44.66万吨，超过矿井核定生产能力30万吨/年的10%；（2）301盘区布置2个采煤工作面（1303综采工作面、N1301采煤工作面）和5个掘进工作面（301盘区回风巷掘进工作面、301盘区七联巷炮掘工作面、1301开切眼炮掘工作面、501进风巷炮掘工作面、501回风巷炮掘工作面），302盘区布置2个采煤工作面（N5301采煤工作面、N007采煤工作面）和2个掘进工作面（5301回风顺槽综掘工作面、5301运输顺槽综掘工作面），且超过国家对煤矿同一采（盘）区同一煤层内采掘工作面数量规定同时作业。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第一项；《煤矿重大事故隐患判定标准》第四条第一项；《煤矿安全规程》第九十五条第三款；《煤矿重大事故隐患判定标准》第四条第四项。,《煤矿重大事故隐患判定标准》第四条第四项
超能力组织生产,矿井核定生产能力60万吨/年，经查看矿井2023年产量报表，10月份生产原煤13.365万吨，11月份生产原煤12.872万吨，12月生产原煤11.58万吨，月产量超过核定生产能力的10%，矿井存在超能力生产。违反《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第一项和《煤矿重大事故隐患判定标准》第四条第一项,《煤矿重大事故隐患判定标准》第四条第一项
带式输送机保护失效,二部胶带运输机超温保护未安装在皮带机主传动滚筒轴承座上，保护失效（矿井已停产放假，该皮带未使用）。违反《煤矿安全规程》第三百七十四条第二项规定。,《煤矿重大事故隐患判定标准》第十八条第八项
煤矿未依照规定实施防突出措施，仍然组织生产,煤矿未依照规定实施防突出措施，仍然组织生产。煤矿未按照《防治煤与瓦斯突出细则》和经主管部门批准的《矿井机械化改造安全设施设计》（含修改版）、煤矿企业批准的《矿井防治煤与瓦突出专项设计》的规定：在联合试运转期间首次开采保护层3号煤层的首采工作面3302综采工作面时，在3302回风顺槽底抽巷、3302底板岩巷布置下向钻孔同时抽采被保护层5号煤层所对应的回采区段瓦斯；也未对该回采区段被保护层的保护效果及其有效保护范围进行实际考察，至本次现场检查时3302综采工作面已沿走向回采了810m（2023年12月28日起该采煤工作面停采）。违反《防治煤与瓦斯突出细则》第五十五条第一款、第六十二条第一款第（一）项，《煤矿重大事故隐患判定标准》第六条第（四）项、第（五）项，《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第（三）项之规定。,《煤矿重大事故隐患判定标准》第六条第四项、《煤矿重大事故隐患判定标准》第六条第五项
采煤工作面超定员组织生产,矿井超定员组织生产。该矿为灾害严重矿井，采用三八制作业，其中早班为检修班，中班、夜班为生产班，经查询人员位置检测系统显示：2023年12月3日中班302综放工作面同时作业人数为32人，超过国家有关限员规定的28%；2023年12月20日夜班403综放工作面同时作业人数为32人，超过国家有关限员规定的28%；2024年1月13日早班302综放工作面同时作业人数为52人，超过国家有关限员规定的30%。违反《煤矿单班入井（坑）作业人数限员规定》第五条、《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第一项和《煤矿重大事故隐患判定标准》第四条第六项。,《煤矿重大事故隐患判定标准》第四条第六项
井下使用非防爆设备,井下使用非防爆车辆作业。检查时发现煤矿井下使用2台久保田牌液压挖掘机（型号KX161-3SZ、KX155-5）和1台震动压路机（型号CLG6622E）进行辅助运输大巷路面整修工程施工，上述设备均未取得“MA”防爆标志，违反《《煤矿重大事故隐患判定标准》第十三条第三项和《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十项。,《煤矿重大事故隐患判定标准》第十三条第三项
瓦斯超限作业,瓦斯超限作业。1月16日在生产班现场监察时发现，405采煤工作面回风顺槽使用编织袋封堵采空区、移动泵站抽放采空区瓦斯，18时53分实测距切顶线1米处瓦斯浓度达1.57%，1月1日至16日期间持续正常生产。涉嫌违反《煤矿安全规程》第一百七十五条第五款、《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第二项、《煤矿重大事故隐患判定标准》第五条第二项。,《煤矿重大事故隐患判定标准》第五条第二项
井下使用非防爆无轨胶轮车,井下使用非防爆无轨胶轮车。查看矿井副井口工业视频，2024年1月8日0点班，煤矿使用非防爆无轨胶轮车出入井运输原煤。该行为违反了《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十项、《煤矿重大事故隐患判定标准》第十三条第三项的规定。,《煤矿重大事故隐患判定标准》第十三条第三项
煤巷掘进未装备甲烷电闭锁装置,煤巷掘进未按规定装备甲烷电闭锁装置，仍然进行生产。一盘区大巷煤柱条带膏体充填回收开采工作面第九条带掘进工作面回风流经过一盘区胶带大巷末段、主斜联巷运输顺槽、主斜联巷回风顺槽进入一盘区回风大巷，一盘区胶带大巷末段至主斜联巷回风顺槽回风流段在用的3台水泵开关（主运08开关、四区段运顺临时泵开关1、四区段运顺临时泵开关2）未安装甲烷传感器并实现甲烷电闭锁，违反了《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第五项、《煤矿重大事故隐患判定标准》第八条第八项、《煤矿安全规程》第一百六十八条第二款和第四百九十九条第二项的规定。,《煤矿重大事故隐患判定标准》第八条第八项
瓦斯超限作业,矿井瓦斯超限作业。检查时，实测201综采工作面回风隅角瓦斯浓度为2.66%，矿井未采取措施，继续进行检修作业。违反《煤矿安全规程》第一百七十五条第五款、《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第二项、《煤矿重大事故隐患判定标准》第五条第二项、《煤矿重大事故隐患判定标准》解读第五条第二项第3目。,《煤矿重大事故隐患判定标准》第五条第二项
瓦斯检查漏检,瓦斯检查存在漏检，仍然进行生产。1月8日检查人员入井检查时，一盘区大巷煤柱条带膏体充填回收开采工作面（第四区段）正在进行第一轮第九条带掘进开采，已经贯通原一盘区辅运大巷、主运大巷（封闭盲巷），正在贯通原一盘区回风大巷老空巷道（封闭盲巷），未按规定检查上述地点的甲烷和二氧化碳浓度，违反了《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第二项、《煤矿重大事故隐患判定标准》第五条第一项、《煤矿安全规程》第一百八十条第一款第四项的规定。,《煤矿重大事故隐患判定标准》第五条第一项
超能力组织生产,矿井超能力组织生产。煤矿核定生产能力为150万吨/年，2023年10月生产原煤24.4万吨，11月生产原煤23.6万吨，12月生产原煤24.2万吨，均超过核定生产能力的10%，违反了《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第一项和《煤矿重大事故隐患判定标准》第四条第一项的规定。,《煤矿重大事故隐患判定标准》第四条第一项
造假，矿长履职时弄虚作假,矿长履行安全生产岗位责任制时弄虚作假。2023年11月1日四点班矿领导带班计划表及实际带班人均为矿长王玉军，矿领导下井带班交接班记录显示矿长王玉军入井接班时间为15时20分，升井时间为23时30分；经查实际入井时间为18时51分，升井时间为21时左右；升井时王玉军将人员定位标识卡交给当班安检员马世雄携带。违反《煤矿重大事故隐患判定标准》第十八条第五项；《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项。,《煤矿重大事故隐患判定标准》第十八条第五项
超能力组织生产,矿井超能力组织生产：2023年12月生产原煤18.6万吨，超过核定生产能力(30万吨/年)的10%，导致2023年生产原煤47.3万吨，超过核定生产能力幅度在10%以上。,《煤矿重大事故隐患判定标准》第四条第一项
造假，包裹传感器,矿井屏蔽安全监控系统数据。2023年12月26日，煤矿使用黑色塑料袋包裹520109综采工作面上隅角甲烷传感器和一氧化碳传感器。该行为违反了《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第十五项、《煤矿重大事故隐患判定标准》第十八条第六项的规定。,《煤矿重大事故隐患判定标准》第十八条第六项
超能力组织生产,矿井超能力组织生产。矿井核定生产能力为2500万吨/年，查看矿井2023年度产销量统计表显示，2023年原煤产量3012万吨，超过核定生产能力10%以上。,《煤矿重大事故隐患判定标准》第四条第一项
风电闭锁装置不能正常使用,5902运输顺槽维修作业点和59运输下山维修作业点风电闭锁装置不能正常使用。现场检查时，5902运输顺槽风筒传感器用铁丝捆绑，现场试验时，无法动作；59运输下山维修作业点测试风电闭锁，未能切断作业点回风流内照明电源。违反《煤矿安全规程》第四百九十条第一款、《煤矿重大事故隐患判定标准》第八条第八项、《国务院关于预防煤矿生产安全事故的特别规定》第八条第二款第五项。,《煤矿重大事故隐患判定标准》第八条第八项
